0	0	0
63.75	0	0
127.5	0	0
191.25	0	0
255	0	0
0	63.75	0
63.75	63.75	0
127.5	63.75	0
191.25	63.75	0
255	63.75	0
0	127.5	0
63.75	127.5	0
127.5	127.5	0
191.25	127.5	0
255	127.5	0
0	191.25	0
63.75	191.25	0
127.5	191.25	0
191.25	191.25	0
255	191.25	0
0	255	0
63.75	255	0
127.5	255	0
191.25	255	0
255	255	0
0	0	63.75
63.75	0	63.75
127.5	0	63.75
191.25	0	63.75
255	0	63.75
0	63.75	63.75
63.75	63.75	63.75
127.5	63.75	63.75
191.25	63.75	63.75
255	63.75	63.75
0	127.5	63.75
63.75	127.5	63.75
127.5	127.5	63.75
191.25	127.5	63.75
255	127.5	63.75
0	191.25	63.75
63.75	191.25	63.75
127.5	191.25	63.75
191.25	191.25	63.75
255	191.25	63.75
0	255	63.75
63.75	255	63.75
127.5	255	63.75
191.25	255	63.75
255	255	63.75
0	0	127.5
63.75	0	127.5
127.5	0	127.5
191.25	0	127.5
255	0	127.5
0	63.75	127.5
63.75	63.75	127.5
127.5	63.75	127.5
191.25	63.75	127.5
255	63.75	127.5
0	127.5	127.5
63.75	127.5	127.5
127.5	127.5	127.5
191.25	127.5	127.5
255	127.5	127.5
0	191.25	127.5
63.75	191.25	127.5
127.5	191.25	127.5
191.25	191.25	127.5
255	191.25	127.5
0	255	127.5
63.75	255	127.5
127.5	255	127.5
191.25	255	127.5
255	255	127.5
0	0	191.25
63.75	0	191.25
127.5	0	191.25
191.25	0	191.25
255	0	191.25
0	63.75	191.25
63.75	63.75	191.25
127.5	63.75	191.25
191.25	63.75	191.25
255	63.75	191.25
0	127.5	191.25
63.75	127.5	191.25
127.5	127.5	191.25
191.25	127.5	191.25
255	127.5	191.25
0	191.25	191.25
63.75	191.25	191.25
127.5	191.25	191.25
191.25	191.25	191.25
255	191.25	191.25
0	255	191.25
63.75	255	191.25
127.5	255	191.25
191.25	255	191.25
255	255	191.25
0	0	255
63.75	0	255
127.5	0	255
191.25	0	255
255	0	255
0	63.75	255
63.75	63.75	255
127.5	63.75	255
191.25	63.75	255
255	63.75	255
0	127.5	255
63.75	127.5	255
127.5	127.5	255
191.25	127.5	255
255	127.5	255
0	191.25	255
63.75	191.25	255
127.5	191.25	255
191.25	191.25	255
255	191.25	255
0	255	255
63.75	255	255
127.5	255	255
191.25	255	255
255	255	255
