23.5376	27.5806	24.2796	
206.579	208.935	208.741	
83.3509	120.404	100.246	
112.245	133.113	160.698	
39.4762	50.8571	62.631	
168.693	167.006	167.313	
50.9118	142.735	128.941	
70.5197	77.3071	71.2992	
41.46	95.96	45.88	
130.3	122.742	122.408	
186.453	189.823	189.75	
56.1875	175.688	179.438	
65.4032	63.9839	59.129	
94.1846	113	138.262	
118.051	176	146.872	
141.409	169.727	166.909	
135.618	135.529	137.402	
33.5698	42.7674	44.2267	
55.7679	104.893	94.25	
57.7966	137.729	99.1525	
65.0099	80.2277	99.3267	
116.258	111.289	109.781	
47.5227	65.0833	59.4924	
89.5545	83.9901	78.7921	
77.3924	96.1646	119.557	
85.4737	140.895	55.8947	
197.914	201.179	200.291	
50.0135	125.5	82.8243	
136.143	198.643	195.571	
40.2768	47.7768	35.4464	
76	152.382	111.971	
105.763	98.5979	94.5773	
29.0326	34.3257	32.4593	
35.9767	76.8023	39.093	
77.6087	167.63	139.022	
149.01	148.767	150.447	
50.0476	64.9643	84.8571	
167.25	222.833	209.5	
40.4167	112.367	66.95	
108.486	149.871	129.743	
175.83	178.2	177.085	
151.067	139.52	135.773	
48.1368	86.2632	74.0211	
49.3771	52.7657	48.5886	
55.3333	193	206.958	
93.5333	132.533	115.387	
214.5	243.2	223.6	
91.3529	181.529	169.588	
78.9895	97.8842	88.9895	
164.387	156.296	154.197	
